system,run_id,method,model,prompt_name,repeat_index,ok,startup_to_health_s,evict_latency_s,restore_latency_s,ttft_before_s,ttft_after_s,latency_before_s,latency_after_s,tokens_per_s_before,tokens_per_s_after,error
vllm,20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,True,15.021379953017458,0.31433064793236554,15.520434078993276,0.06661425298079848,0.06697614304721355,0.13407059013843536,0.1383723330218345,193.92769117487697,187.89883376395284,
vllm,20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,True,15.019911176059395,0.31449804990552366,15.019853005185723,0.07259741192683578,0.06654174509458244,0.1403482579626143,0.13401620113290846,185.2534572030515,194.0063946016117,
vllm,20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,2,True,15.01878226408735,0.3142829779535532,15.020024310098961,0.06675403704866767,0.06548825814388692,0.1343636540696025,0.13306176103651524,193.50471063053698,195.39798509704826,
vllm,20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,0,True,15.020216416101903,0.3142094360664487,15.02293833810836,0.08109780005179346,0.08197347680106759,0.1308162771165371,0.13184169889427722,160.53048185503891,159.28192807072162,
vllm,20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,1,True,15.020511493086815,0.3143703390378505,15.019194109132513,0.08168316702358425,0.08220449811778963,0.131457599112764,0.1321883429773152,159.74732645152184,158.8642351285378,
vllm,20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,2,True,15.020495482953265,0.3143781030084938,15.01994545594789,0.08224890707060695,0.08267175615765154,0.13179385103285313,0.13251609611324966,159.3397555001651,158.47131492655186,
vllm,20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,0,True,15.521339009981602,0.314326886087656,15.019663470098749,0.06709717493504286,0.06659394898451865,0.4322827458381653,0.4227684959769249,300.7290974520376,307.4968954335129,
vllm,20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,1,True,15.020124601200223,0.3140425509773195,15.023172348970547,0.06579413008876145,0.06644510012120008,0.4213651120662689,0.4217309160158038,308.5210338428651,308.2534266829241,
vllm,20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,2,True,15.019608692033216,0.3140384219586849,15.019544184906408,0.06698419898748398,0.06663335114717484,0.422076900023967,0.4217895611654967,308.00074581816284,308.2105674706164,
vllm,20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,True,15.020390687976032,0.4289033650420606,0.10873807081952691,0.06693288101814687,0.00994178419932723,0.13452611188404262,0.08014253922738135,193.27102847074926,324.42196429829227,
vllm,20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,True,15.020099390065297,0.4280475159175694,0.10911356005817652,0.06575903599150479,0.009190586162731051,0.13380567519925535,0.08193986606784165,194.3116385854514,317.30586401585583,
vllm,20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,2,True,15.020219246856868,0.42602566187269986,0.10919839795678854,0.06615358591079712,0.009623828111216426,0.1341554659884423,0.07885847589932382,193.80499935977218,329.70457142987897,
vllm,20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,0,True,15.020624657860026,0.4313006089068949,0.10910764010623097,0.08185065304860473,0.029091044794768095,0.13160119811072946,0.08364477287977934,159.57301530287413,251.061713446013,
vllm,20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,1,True,15.020260169869289,0.4288633659016341,0.10917808394879103,0.08275340287946165,0.027199561009183526,0.13268043799325824,0.07832457101903856,158.27502771031743,268.1150975585359,
vllm,20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,2,True,15.020478792022914,0.43897304008714855,0.109171146992594,0.08172478899359703,0.02984443004243076,0.1316410389263183,0.08301317086443305,159.52472094780455,252.97190531722526,
vllm,20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,0,True,15.020877395989373,0.4225020019803196,0.10919810202904046,0.0659239951055497,0.009256140096113086,0.4216464180499315,0.3654804341495037,308.31520068695414,355.6961956185652,
vllm,20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,1,True,15.021035962039605,0.4254376271273941,0.11115112295374274,0.06676747417077422,0.009779579006135464,0.4222026860807091,0.3698439879808575,307.90898373192476,351.49956258509894,
vllm,20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,2,True,15.02381867589429,0.42718171584419906,0.11057229898869991,0.06682218285277486,0.009813955053687096,0.42184366495348513,0.36644411995075643,308.17103775716186,354.7607750329564,
vllm,20260601_190248_sleep_l2_short_short_0_830b0ccf,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,True,15.020140622975305,0.061517312889918685,0.2437207151670009,0.06601783912628889,0.009441624861210585,0.13353515416383743,0.08273138687945902,194.70528313540558,314.270085159849,
vllm,20260601_190306_sleep_l2_short_short_1_03f9d1cf,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,True,15.020390080986544,0.06027916306629777,0.2863737738225609,0.0684113628230989,0.009875847958028316,0.1361465889494866,0.08105033007450402,190.97063099866992,320.78832962308707,
vllm,20260601_190325_sleep_l2_short_short_2_dfa7687c,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,2,True,15.020528495078906,0.058716617058962584,0.2466168301180005,0.06720956112258136,0.010059416992589831,0.1352090979926288,0.08321225317195058,192.29475224675664,312.4539837453188,
vllm,20260601_190343_sleep_l2_long_short_0_d90c5b06,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,0,True,15.522921992931515,0.05975529388524592,0.24637380964122713,0.08144780294969678,0.028700958006083965,0.1311335931532085,0.08172259898856282,160.14203145844468,256.96686424447876,
vllm,20260601_190402_sleep_l2_long_short_1_b7c8e65f,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,1,True,15.019937405129895,0.060411175014451146,0.24761394783854485,0.0810777919832617,0.02911035204306245,0.13078812509775162,0.08316785795614123,160.56503588765807,252.5013931592948,
vllm,20260601_190421_sleep_l2_long_short_2_5b95f150,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,2,True,15.020116697996855,0.06124706892296672,0.2823524090927094,0.08009719010442495,0.02861211495473981,0.13005604594945908,0.0828465900849551,161.4688486543777,253.4805594106593,
vllm,20260601_190439_sleep_l2_short_long_0_c44b080b,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,0,True,15.020827277097851,0.059767602011561394,0.2462286853697151,0.06786652794107795,0.00982917402870953,0.42314619291573763,0.3716568269301206,307.222426141235,349.7850451821319,
vllm,20260601_190458_sleep_l2_short_long_1_98b0bfd3,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,1,True,15.020789263071492,0.05847910908050835,0.24372263508848846,0.06605840404517949,0.009110123151913285,0.42135544610209763,0.37385120103135705,308.52811136681026,347.7319308895203,
