system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_pool_hit_count,cpu_backup_pool_miss_count,cpu_backup_pool_reserved_bytes,cpu_backup_pool_free_bytes,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,get_iterator_s,iterator_first_yield_s,iterator_total_s,iterator_gap_s,iterator_consumer_s,initialize_layerwise_reload_s,model_load_weights_s,finalize_layerwise_reload_s,is_checkpoint_format,weights_from_disk,weights_path,iterator_tensor_count,iterator_tensor_bytes,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260721_122654_sleep_l1_short_short_0_fa3914de,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,allocator_sleep,3229453,0.9326098170131445,0.17724517546594143,,,0.0408725393936038,,0.7066012313589454,0,76,3250585600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,3250585600,3405774848,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 3405774848}",{},{}
vllm,20260721_122654_sleep_l1_short_short_0_fa3914de,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake,allocator_wake_up,3229453,0.2769690863788128,,0.17843127436935902,0.09825410507619381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,6656360448,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{},"{""weights"": 3250585600}","{""kv_cache"": 3405774848}"
vllm,20260721_122710_sleep_l1_short_short_1_e03fbe8c,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,sleep,allocator_sleep,3230075,1.111308396793902,0.17932311818003654,,,0.04230928421020508,,0.8816195409744978,0,76,3250585600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,3250585600,3405774848,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 3405774848}",{},{}
vllm,20260721_122710_sleep_l1_short_short_1_e03fbe8c,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake,allocator_wake_up,3230075,0.2981113204732537,,0.19278236012905836,0.10498636029660702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,6656360448,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{},"{""weights"": 3250585600}","{""kv_cache"": 3405774848}"
vllm,20260721_122727_sleep_l1_short_short_2_54286b0c,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,sleep,allocator_sleep,3230575,1.241743303835392,0.1785164289176464,,,0.0417401222512126,,1.0134614231064916,0,76,3250585600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,3250585600,3405774848,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 3405774848}",{},{}
vllm,20260721_122727_sleep_l1_short_short_2_54286b0c,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,wake,allocator_wake_up,3230575,0.28536507952958345,,0.18672794941812754,0.09836174547672272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,6656360448,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{},"{""weights"": 3250585600}","{""kv_cache"": 3405774848}"
vllm,20260721_122745_sleep_l1_short_short_3_35b555cb,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,3,sleep,allocator_sleep,3231072,1.0426869504153728,0.18355548847466707,,,0.043681226670742035,,0.8072474682703614,0,76,3250585600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,3250585600,3405774848,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 3405774848}",{},{}
vllm,20260721_122745_sleep_l1_short_short_3_35b555cb,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,3,wake,allocator_wake_up,3231072,0.2840706268325448,,0.18639137782156467,0.09735238924622536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,6656360448,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{},"{""weights"": 3250585600}","{""kv_cache"": 3405774848}"
vllm,20260721_122801_sleep_l1_short_short_4_891ecee1,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,4,sleep,allocator_sleep,3231563,1.0244949804618955,0.1759177502244711,,,0.042608464136719704,,0.7979248566552997,0,76,3250585600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,3250585600,3405774848,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}","{""weights"": 3250585600}","{""kv_cache"": 3405774848}",{},{}
vllm,20260721_122801_sleep_l1_short_short_4_891ecee1,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,4,wake,allocator_wake_up,3231563,0.2802471974864602,,0.18260695599019527,0.0973517969250679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,6656360448,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{},"{""weights"": 3250585600}","{""kv_cache"": 3405774848}"
vllm,20260721_122818_sleep_l2_short_short_0_36c8e5a9,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,allocator_sleep,3232066,0.11508610565215349,0.0,,,0.1057589827105403,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,0,6656360448,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{}
vllm,20260721_122818_sleep_l2_short_short_0_36c8e5a9,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,allocator_wake_up,3232066,0.07106400653719902,,0.0,0.07092453073710203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,3250585600,"{""weights"": 3250585600}",{},{},{},"{""weights"": 3250585600}"
vllm,20260721_122818_sleep_l2_short_short_0_36c8e5a9,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,allocator_wake_up,3232066,0.03709238115698099,,0.0,0.037000497803092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,3405774848,"{""kv_cache"": 3405774848}",{},{},{},"{""kv_cache"": 3405774848}"
vllm,20260721_122835_sleep_l2_short_short_1_d7da15fb,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,sleep,allocator_sleep,3232572,0.11558728758245707,0.0,,,0.10572003852576017,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,104,6656360448,0,6656360448,,"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},"{""kv_cache"": 3405774848, ""weights"": 3250585600}",{},{}
