run_id,method,model,prompt_name,repeat_index,ok,startup_to_health_s,evict_latency_s,restore_latency_s,ttft_before_s,ttft_after_s,latency_before_s,latency_after_s,tokens_per_s_before,tokens_per_s_after,error
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,0,True,15.02019659196958,0.3137223641388118,15.01921221613884,0.08436370198614895,0.08176360814832151,0.13420477090403438,0.13177456008270383,156.47729852328754,159.36308181806916,
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,1,True,15.020291426917538,0.3144567010458559,15.019609710900113,0.08166309213265777,0.08197977999225259,0.13139202212914824,0.1315802070312202,159.82705540035465,159.59847209403847,
20260528_204225_cold_reload_long_short_2_528c7d80,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,2,True,15.019229219062254,0.3139482249971479,15.019608976086602,0.08225818607024848,0.08227774896658957,0.13211645605042577,0.13211106695234776,158.95067600045817,158.95715994462952,
20260528_202519_cold_reload_short_long_0_42c1909f,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,0,True,15.521889837924391,0.31429024203680456,15.520580132957548,0.06712061306461692,0.0657370078843087,0.43107149307616055,0.4303072579205036,301.5741056600835,302.1097079055465,
20260528_202554_cold_reload_short_long_1_268ecfdd,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,1,True,15.021862019086257,0.31379724596627057,15.021943592000753,0.06632870994508266,0.0661894881632179,0.42195232096128166,0.42236969200894237,308.09168131564513,307.7872358257364,
20260528_202628_cold_reload_short_long_2_69a6c825,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,2,True,15.01954882312566,0.31426015915349126,15.020059719216079,0.06658061314374208,0.06658316613174975,0.4231709181331098,0.4229676260147244,307.2044756135819,307.35212816376264,
20260528_202149_cold_reload_short_short_0_65a00da4,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,True,24.531814841087908,0.31395097100175917,15.020048327045515,0.3855816109571606,0.06621777289547026,0.45718249888159335,0.13372902502305806,56.870068437886104,194.42301322033106,
20260528_202232_cold_reload_short_short_1_09da5464,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,True,15.019271465949714,0.3138541099615395,15.019616318168119,0.06715867086313665,0.06640004785731435,0.1344495378434658,0.13392308191396296,193.38110355032055,194.14129086951075,
20260528_202306_cold_reload_short_short_2_b2bb8a22,cold_reload,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,2,True,15.01954953209497,0.31389135704375803,15.019361539976671,0.06589017389342189,0.0656499620527029,0.1333054129499942,0.13324843207374215,195.04084211308938,195.12424720773538,
20260528_204259_sleep_l1_long_short_0_8214f615,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,0,True,15.021563109010458,0.4181968930643052,0.1362841499503702,0.08162934798747301,0.026090621948242188,0.1316096349619329,0.07756531983613968,159.5627858558691,270.7395527326319,
20260528_204317_sleep_l1_long_short_1_1f84d7f9,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,1,True,15.018892449093983,0.4212385059799999,0.14033243316225708,0.08244979288429022,0.0290415920317173,0.132625533035025,0.0807582859415561,158.340551170144,260.0352366962998,
20260528_204336_sleep_l1_long_short_2_d7975ad5,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,2,True,15.519771073944867,0.4247627230361104,0.1383112771436572,0.08308465499430895,0.02889767289161682,0.13556168088689446,0.08031459408812225,154.9110328421001,261.4717815414533,
20260528_202855_sleep_l1_short_long_0_e16310cd,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,0,True,15.02016840595752,0.4155167469289154,0.14255283609963953,0.0668374840170145,0.008980660000815988,0.42427606717683375,0.3723749399650842,306.40427320124417,349.1104960290547,
20260528_202914_sleep_l1_short_long_1_8d846e5e,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,1,True,15.024771029828116,0.41975046996958554,0.14271786203607917,0.06692385510541499,0.009178417967632413,0.42388526699505746,0.36861816979944706,306.6867620136366,352.6684538386393,
20260528_202934_sleep_l1_short_long_2_a29d779e,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,2,True,15.521063586929813,0.4149565261323005,0.14275007182732224,0.06573971291072667,0.009026410058140755,0.4327434650622308,0.36771896202117205,300.4089269870437,353.5308576023747,
20260528_202702_sleep_l1_short_short_0_41812ac0,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,True,15.519768936093897,0.4307093028910458,0.1393588490318507,0.06672638608142734,0.008976461132988334,0.13812848716042936,0.08097541308961809,188.23054197214435,321.0851171728506,
20260528_202721_sleep_l1_short_short_1_36d49dc9,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,True,15.019749213941395,0.4229807681404054,0.13924834807403386,0.06544290110468864,0.009120914852246642,0.13347608200274408,0.07859899289906025,194.791453344169,330.7930425188802,
20260528_202739_sleep_l1_short_short_2_c62835e3,sleep_l1,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,2,True,15.521608091890812,0.42755042598582804,0.13421815005131066,0.06727803195826709,0.008903979789465666,0.13838117709383368,0.07848216197453439,187.88682497164976,331.2854710658504,
20260528_204355_sleep_l2_long_short_0_22797989,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,0,True,15.518507662927732,0.06289129285141826,0.2801417112350464,0.08164064399898052,0.026563768042251468,0.13452476379461586,0.07876616390421987,156.1050873284677,266.6119429852662,
20260528_204414_sleep_l2_long_short_1_323cac79,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,1,True,15.01942667295225,0.05982376402243972,0.27777963411062956,0.08160636480897665,0.029298672918230295,0.13161224802024662,0.08367118611931801,159.55961786147333,250.98245852584512,
20260528_204432_sleep_l2_long_short_2_9f7af790,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,long_short,2,True,15.020040662027895,0.0596279869787395,0.28086072369478643,0.0817399409133941,0.029037463013082743,0.13125833589583635,0.08358233491890132,159.98983879138254,251.2492624234054,
20260528_203145_sleep_l2_short_long_0_7ba0cf62,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,0,True,15.52062087203376,0.060083874966949224,0.27844840777106583,0.0664455748628825,0.009447107091546059,0.4306006378028542,0.3696045079268515,301.90387237540295,351.7273117938494,
20260528_203205_sleep_l2_short_long_1_7990b7c7,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,1,True,15.020306095015258,0.06005333596840501,0.28085467987693846,0.06700738216750324,0.009282266022637486,0.4233142719604075,0.3687912879977375,307.1004419434242,352.50290402954835,
20260528_203224_sleep_l2_short_long_2_6352e1b5,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_long,2,True,15.01886752108112,0.06006237701512873,0.3164630099199712,0.06741078500635922,0.009423334849998355,0.42416711314581335,0.3698108110111207,306.48297798445935,351.5310967912475,
20260528_202953_sleep_l2_short_short_0_b74fa2c5,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,True,15.520678139990196,0.06535224406979978,0.2815521382726729,0.06628765701316297,0.009495432022958994,0.13479858310893178,0.08060672297142446,192.88036565628585,322.55374045186215,
20260528_203012_sleep_l2_short_short_1_b72eb35d,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,True,15.521441841032356,0.0630910350009799,0.27779817301779985,0.06625769007951021,0.009730878053233027,0.1373901639599353,0.0828738019336015,189.2420770935387,313.7300255734762,
20260528_203031_sleep_l2_short_short_2_4819cc9f,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,2,True,15.520189102971926,0.06273638596758246,0.279227257007733,0.06667481805197895,0.009347451850771904,0.13794547109864652,0.0785394178237766,188.48027262458712,331.0439613690248,
